Voltage,Current
V,A
-0.198,-2.50E-05
-0.197,-2.42E-05
-0.196,-2.34E-05
-0.195,-2.25E-05
-0.194,-2.20E-05
-0.193,-2.13E-05
-0.192,-2.08E-05
-0.191,-2.04E-05
-0.19,-1.95E-05
-0.189,-1.90E-05
-0.188,-1.85E-05
-0.187,-1.80E-05
-0.186,-1.79E-05
-0.185,-1.74E-05
-0.184,-1.68E-05
-0.183,-1.65E-05
-0.182,-1.64E-05
-0.181,-1.59E-05
-0.18,-1.54E-05
-0.179,-1.52E-05
-0.178,-1.49E-05
-0.177,-1.48E-05
-0.176,-1.44E-05
-0.175,-1.41E-05
-0.174,-1.39E-05
-0.173,-1.36E-05
-0.172,-1.35E-05
-0.171,-1.30E-05
-0.17,-1.29E-05
-0.169,-1.25E-05
-0.168,-1.24E-05
-0.167,-1.20E-05
-0.166,-1.18E-05
-0.165,-1.16E-05
-0.164,-1.13E-05
-0.163,-1.10E-05
-0.162,-1.10E-05
-0.161,-1.09E-05
-0.16,-1.07E-05
-0.159,-1.05E-05
-0.158,-1.04E-05
-0.157,-1.02E-05
-0.156,-1.01E-05
-0.155,-9.96E-06
-0.154,-9.82E-06
-0.153,-9.51E-06
-0.152,-9.59E-06
-0.151,-9.30E-06
-0.15,-9.09E-06
-0.149,-8.85E-06
-0.148,-8.85E-06
-0.147,-8.76E-06
-0.146,-8.49E-06
-0.145,-8.18E-06
-0.144,-8.08E-06
-0.143,-8.05E-06
-0.142,-7.88E-06
-0.141,-7.70E-06
-0.14,-7.67E-06
-0.139,-7.51E-06
-0.138,-7.50E-06
-0.137,-7.27E-06
-0.136,-7.10E-06
-0.135,-7.05E-06
-0.134,-7.09E-06
-0.133,-6.81E-06
-0.132,-6.85E-06
-0.131,-6.65E-06
-0.13,-6.53E-06
-0.129,-6.35E-06
-0.128,-6.22E-06
-0.127,-6.12E-06
-0.126,-5.97E-06
-0.125,-5.87E-06
-0.124,-5.90E-06
-0.123,-5.82E-06
-0.122,-5.67E-06
-0.121,-5.63E-06
