Voltage,Current
-0.198,-3.0873511260857964e-05
-0.197,-3.0041450762503562e-05
-0.196,-2.9209414592068627e-05
-0.195,-2.8277402749553157e-05
-0.194,-2.774541523495715e-05
-0.193,-2.7013452048280607e-05
-0.192,-2.648151318952353e-05
-0.191,-2.604959865868592e-05
-0.19,-2.5117708455767765e-05
-0.189,-2.458584258076908e-05
-0.188,-2.405400103368986e-05
-0.187,-2.3522183814530104e-05
-0.186,-2.3390390923289814e-05
-0.185,-2.2858622359968984e-05
-0.184,-2.2226878124567622e-05
-0.183,-2.1895158217085724e-05
-0.182,-2.1763462637523287e-05
-0.181,-2.1231791385880317e-05
-0.18,-2.0700144462156815e-05
-0.179,-2.0468521866352772e-05
-0.178,-2.013692359846819e-05
-0.177,-2.0005349658503082e-05
-0.176,-1.9573800046457432e-05
-0.175,-1.9242274762331248e-05
-0.174,-1.901077380612453e-05
-0.173,-1.8679297177837272e-05
-0.172,-1.854784487746948e-05
-0.171,-1.8016416905021154e-05
-0.17,-1.7885013260492292e-05
-0.169,-1.7453633943882893e-05
-0.168,-1.732227895519296e-05
-0.167,-1.6890948294422492e-05
-0.166,-1.6659641961571484e-05
-0.165,-1.6428359956639947e-05
-0.164,-1.6097102279627867e-05
-0.163,-1.5765868930535254e-05
-0.162,-1.573465990936211e-05
-0.161,-1.5603475216108427e-05
-0.16,-1.5372314850774207e-05
-0.159,-1.5141178813359452e-05
-0.158,-1.5010067103864163e-05
-0.157,-1.4778979722288336e-05
-0.156,-1.4647916668631975e-05
-0.155,-1.4476877942895077e-05
-0.154,-1.4305863545077643e-05
-0.153,-1.3964873475179676e-05
-0.152,-1.4013907733201171e-05
-0.151,-1.3692966319142132e-05
-0.15,-1.3452049233002555e-05
-0.149,-1.3181156474782446e-05
-0.148,-1.3150288044481799e-05
-0.147,-1.3029443942100617e-05
-0.146,-1.2728624167638899e-05
-0.145,-1.2387828721096644e-05
-0.144,-1.2257057602473855e-05
-0.143,-1.219631081177053e-05
-0.142,-1.199558834898667e-05
-0.141,-1.1784890214122274e-05
-0.14,-1.1724216407177341e-05
-0.139,-1.1533566928151874e-05
-0.138,-1.1492941777045871e-05
-0.137,-1.1232340953859332e-05
-0.136,-1.1031764458592257e-05
-0.135,-1.0951212291244648e-05
-0.134,-1.0960684451816501e-05
-0.133,-1.065018094030782e-05
-0.132,-1.0659701756718603e-05
-0.131,-1.0429246901048849e-05
-0.13,-1.0278816373298561e-05
-0.129,-1.0068410173467737e-05
-0.128,-9.908028301556378e-06
-0.127,-9.777670757564482e-06
-0.126,-9.597337541492051e-06
-0.125,-9.467028653339083e-06
-0.124,-9.466744093105583e-06
-0.123,-9.356483860791545e-06
-0.122,-9.17624795639697e-06
-0.121,-9.106036379921862e-06
-0.12,-8.885849131366216e-06
-0.119,-8.675686210730034e-06
-0.118,-8.585547618013319e-06
-0.117,-8.495433353216066e-06
-0.116,-8.30534341633828e-06
-0.115,-8.175277807379957e-06
-0.114,-8.025236526341097e-06
-0.113,-7.965219573221703e-06
-0.112,-7.955226948021774e-06
-0.111,-7.775258650741307e-06
-0.11,-7.625314681380306e-06
-0.109,-7.4453950399387685e-06
-0.108,-7.385499726416696e-06
-0.107,-7.385628740814088e-06
-0.106,-7.275782083130944e-06
-0.105,-7.075959753367264e-06
-0.104,-6.8361617515230485e-06
-0.103,-6.686388077598297e-06
-0.102,-6.516638731593011e-06
-0.101,-6.386913713507189e-06
-0.1,-6.3272130233408305e-06
-0.09901,-6.217833304293204e-06
-0.09801,-6.048181026686581e-06
-0.097,-5.918256920358543e-06
-0.09602,-5.839245371026201e-06
-0.09501,-5.649370161383495e-06
-0.09401,-5.549815195454728e-06
-0.09302,-5.390579743402318e-06
-0.09202,-5.421073190033286e-06
-0.09102,-5.2115909645837176e-06
-0.09003,-5.1024275256057135e-06
-0.089,-4.932111074195539e-06
-0.08801,-4.812996286190881e-06
-0.08702,-4.663905341980089e-06
-0.086,-4.553957792555576e-06
-0.08501,-4.354915258471725e-06
-0.084,-4.275310577726255e-06
-0.083,-4.1360234621907904e-06
-0.08199,-4.0564681695546246e-06
-0.081,-3.9575222148782556e-06
-0.08001,-3.828600103995754e-06
-0.079,-3.699118279243578e-06
-0.07801,-3.610244337641616e-06
-0.07702,-3.4813942398335213e-06
-0.076,-3.3716948351875444e-06
-0.075,-3.2126023430077953e-06
-0.07399,-3.1132436199609005e-06
-0.07299,-2.9952000268992746e-06
-0.07201,-2.9107609086463457e-06
-0.07101,-2.7917654848652597e-06
-0.07001,-2.671794389003637e-06
-0.06901,-2.52784762106148e-06
-0.06801,-2.4029251810387857e-06
-0.06701,-2.293027068935557e-06
-0.06602,-2.2244419021704285e-06
-0.06502,-2.1245922026269334e-06
-0.06402,-1.9897668310029024e-06
-0.063,-1.8147900145690238e-06
-0.06201,-1.737647427211377e-06
-0.06101,-1.590149282624934e-06
-0.06001,-1.4864214659579554e-06
-0.05901,-1.3187179772104412e-06
-0.05802,-1.2133254875674703e-06
-0.05699,-1.0598111349604123e-06
-0.05601,-9.427534784846841e-07
-0.05501,-8.341473014150274e-07
-0.05401,-7.175654522648351e-07
